,Country,Country_Code,0-250,250-500,500-750,750-1000,1000-1250,1250-
38,French Polynesia,PYF,1.0,0.0,0.0,0.0,0.0,0.0
39,Qatar,QAT,1.0,0.0,0.0,0.0,0.0,0.0
40,Saudi Arabia,SAU,1.0,0.0,0.0,0.0,0.0,0.0
41,Tuvalu,TUV,1.0,0.0,0.0,0.0,0.0,0.0
42,Taiwan,TWN,1.0,0.0,0.0,0.0,0.0,0.0
43,Tanzania,TZA,0.7859045202097983,0.156668605992957,0.05742687379724475,0.0,0.0,0.0
44,United States,USA,1.0,0.0,0.0,0.0,0.0,0.0
45,Saint Vincent and the Grenadines,VCT,0.9240121580547113,0.07598784194528875,0.0,0.0,0.0,0.0
46,Venezuela,VEN,0.7130324641869795,0.28696753581302054,0.0,0.0,0.0,0.0
47,Yemen,YEM,1.0,0.0,0.0,0.0,0.0,0.0
48,Aruba,ABW,1.0,0.0,0.0,0.0,0.0,0.0
49,Costa Rica,CRI,0.8875673185665965,0.11243268143340347,0.0,0.0,0.0,0.0
50,Cuba,CUB,1.0,0.0,0.0,0.0,0.0,0.0
51,Curaçao,CUW,1.0,0.0,0.0,0.0,0.0,0.0
52,American Samoa,ASM,0.9450867052023122,0.023121387283236993,0.014450867052023121,0.011560693641618497,0.002890173410404624,0.002890173410404624
53,French Southern Territories,ATF,0.8521761861194616,0.1478238138805385,0.0,0.0,0.0,0.0
54,Panama,PAN,0.7671051173055774,0.2328948826944226,0.0,0.0,0.0,0.0
55,Antigua and Barbuda,ATG,1.0,0.0,0.0,0.0,0.0,0.0
56,Australia,AUS,1.0,0.0,0.0,0.0,0.0,0.0
57,Benin,BEN,1.0,0.0,0.0,0.0,0.0,0.0
58,"Bonaire, Sint Eustatius and Saba",BES,1.0,0.0,0.0,0.0,0.0,0.0
59,Bangladesh,BGD,0.7571113508010513,0.2428886491989487,0.0,0.0,0.0,0.0
60,Egypt,EGY,1.0,0.0,0.0,0.0,0.0,0.0
61,Micronesia,FSM,0.7754594369500181,0.2245405630499819,0.0,0.0,0.0,0.0
62,Gabon,GAB,0.7607038171413529,0.12309396567561565,0.058077801572264096,0.0581244156107673,0.0,0.0
63,Ghana,GHA,0.8863784659166843,0.05355219609600403,0.06006933798731162,0.0,0.0,0.0
64,Mozambique,MOZ,1.0,0.0,0.0,0.0,0.0,0.0
65,Bermuda,BMU,1.0,0.0,0.0,0.0,0.0,0.0
66,Brazil,BRA,1.0,0.0,0.0,0.0,0.0,0.0
67,Barbados,BRB,1.0,0.0,0.0,0.0,0.0,0.0
68,Guyana,GUY,0.9086239275324962,0.09137607246750377,0.0,0.0,0.0,0.0
69,Mauritania,MRT,1.0,0.0,0.0,0.0,0.0,0.0
70,Cook Islands,COK,1.0,0.0,0.0,0.0,0.0,0.0
71,Colombia,COL,0.8456384252796683,0.15436157472033174,0.0,0.0,0.0,0.0
72,Comoros,COM,0.5034079844206426,0.3485881207400195,0.14800389483933787,0.0,0.0,0.0
73,Cayman Islands,CYM,1.0,0.0,0.0,0.0,0.0,0.0
